id;nom_ecole;adresse;rc;ice;tp;identite_fiche;logo;logo_content_type
1;one-to-one;extensible Practical Granite Bacon;Turkish Lira;Profit-focused;system-worthy Credit Card Account;Denmark hub collaboration;../data/blob/hipster.png;image/png
2;Tasty Cotton Tuna efficient Producer;Hill Awesome Rubber Computer;Directives payment override;Indonesia;content;back up B2C invoice;../data/blob/hipster.png;image/png
3;Via enhance Cotton;Chair Producer Accounts;Switchable Kyat;Money Market Account;1080p;Rubber connecting back-end;../data/blob/hipster.png;image/png
4;Small Wooden Gloves Expanded viral;Incredible Integration;Bedfordshire navigating;Village;XML Sausages;Borders Planner navigating;../data/blob/hipster.png;image/png
5;Cambridgeshire;Granite quantifying;CFA Franc BEAC Syrian Arab Republic;back-end digital secured line;Graphic Interface;Keyboard;../data/blob/hipster.png;image/png
6;Future-proofed Metrics North Carolina;generating Granite FTP;Investment Account Rubber Legacy;Gloves Cambridgeshire revolutionize;withdrawal;Sleek Steel Hat;../data/blob/hipster.png;image/png
7;Versatile;San Marino;Cotton Money Market Account Optimization;solutions Refined deposit;Kids;withdrawal Shirt;../data/blob/hipster.png;image/png
8;South Carolina;Ferry;Cambridgeshire;Generic Metal Gloves Administrator Devolved;Rustic;data-warehouse Intelligent Saudi Riyal;../data/blob/hipster.png;image/png
9;Home Loan Account;Manager open-source;orange Soap;Suriname models;optical;Ports pink;../data/blob/hipster.png;image/png
10;Iraq Buckinghamshire;interface;Supervisor Inverse Granite;Jewelery logistical;Belize Dollar sky blue Savings Account;Sports;../data/blob/hipster.png;image/png
